status_code, message, timestamp
5, "The prt is out of service @ hos tow eng and bee busses will pick up @ the bottom of mtr sta outside of hos the crosswalk by the tennis courts outside of tow and @ the turnarounds outside of eng and bee", 2012/01/26 09:00:24
2, "The PRT is currently down between Engineering and Beechurst.", 2011/12/08 14:13:17
5, "The PRT is currently down between Eng Bee and Wal", 2010/09/10 09:53:41
1, "The PRT is currently running on a normal schedule.", 2010/12/16 09:19:00
5, "The PRT is out of service at the Health Sciences Center busses will be picking up at the crosswalk by the tennis courts and dropping off at the bottom of mountaineer STA", 2010/09/16 13:32:31
2, "The PRT is currently down between Health Sciences Center and Beechurst.", 2012/02/02 12:22:23
5, "The PRT is temporary down between Beechurst  and Walnut Stations", 2010/09/29 13:54:32
5, "prt out all stations - busses running all stations", 2011/03/04 13:43:19
1, "The PRT is currently running on a normal schedule.", 2011/01/31 14:39:51
4, "The PRT is currently down.", 2010/09/17 21:13:58
5, "The prt is out opf service @ hostowengbee buses will pick up @ the bottom of mtr sta outside of hos @ the crosswalk by the tennis courts outside of tow and @ the turnarounds outside of eng and bee", 2012/02/13 08:47:46
5, "The PRT is out of service at this time due to ice", 2012/01/21 09:32:08
2, "The PRT is currently down between Engineering and Walnut Street.", 2011/03/14 08:56:53
1, "The PRT is currently running on a normal schedule.", 2010/10/19 11:06:25
2, "The PRT is currently down between Beechurst and Towers.", 2011/02/15 10:55:05
1, "The PRT is currently running on a normal schedule.", 2012/01/26 09:30:07
2, "The PRT is currently down between Beechurst and Engineering.", 2011/04/18 12:24:01
2, "The PRT is currently down between Engineering and Beechurst.", 2012/01/09 12:50:47
4, "The PRT is currently down.", 2010/09/16 21:05:09
1, "The PRT is currently running on a normal schedule.", 2012/02/02 13:00:27
6, "The PRT is currently down at the Engineering station.", 2012/01/14 09:46:08
1, "The PRT is currently running on a normal schedule.", 2011/03/07 09:20:59
4, "The PRT is currently down.", 2010/09/18 10:40:10
4, "The PRT is currently down.", 2011/02/01 17:38:22
1, "The PRT is currently running on a normal schedule.", 2012/01/23 05:22:04
5, "the prt is out of service between Beech sta and Walnut sta", 2010/09/29 14:47:16
5, "We are currently down between Towers and Beechurst stations.", 2011/04/12 15:17:00
1, "The PRT is currently running on a normal schedule.", 2010/11/09 12:06:41
6, "The PRT is currently down at the Engineering station.", 2011/02/21 09:11:09
1, "The PRT is currently running on a normal schedule.", 2010/09/16 23:15:51
1, "The PRT is currently running on a normal schedule.", 2010/10/05 12:44:13
1, "The PRT is currently running on a normal schedule.", 2011/03/09 11:45:58
6, "The PRT is currently down at the Health Sciences Center station.", 2010/09/18 11:05:27
5, "The prt is out of service @ all sta&#039;s busses will pick up @ the turnarounds outside of eng and bee @ the crosswaslk by the tennis courts outside of tow @ the bottom of mtr sta ouside of hos and @ the corner of walnut and chestnut streets @ wal sta", 2012/02/13 09:34:40
1, "The PRT is currently running on a normal schedule.", 2010/08/23 09:29:35
2, "The PRT is currently down between Towers and Health Sciences Center.", 2010/10/21 10:50:18
5, "The PRT is not operting between Hospital and Towers stations WVU Buses are operating between Hospital and Towers stations.", 2010/10/05 12:27:59
1, "The PRT is currently running on a normal schedule.", 2012/01/30 05:20:55
2, "The PRT is currently down between Beechurst and Health Sciences Center.", 2011/04/14 09:57:28
6, "The PRT is currently down at the Health Sciences Center station.", 2011/04/25 09:03:14
6, "The PRT is currently down at the Beechurst station.", 2011/02/22 13:14:37
5, "the PRT is out of service to and from Hosp Station", 2011/01/12 15:35:16
2, "The PRT is currently down between Beechurst and Engineering.", 2011/05/17 14:05:31
5, "The prt is out of service @ eng and bee busses are picking up @ the turnarounds outside of eng and bee and @ the crosswalk by the tennis courts outside of tow", 2012/01/18 12:05:41
6, "The PRT is currently down at the Walnut Street station.", 2010/08/18 06:40:02
1, "The PRT is currently running on a normal schedule.", 2010/10/06 08:12:18
1, "The PRT is currently running on a normal schedule.", 2010/09/18 12:34:56
6, "The PRT is currently down at the Beechurst station.", 2010/08/26 09:24:30
5, "PRT is out of service med center towers and engineering.  Service should be up shortly.", 2010/10/13 10:39:07
1, "The PRT is currently running on a normal schedule.", 2010/09/03 13:32:10
5, "prt out of service all stations busses picking up all stations.", 2011/04/14 10:47:19
1, "The PRT is currently running on a normal schedule.", 2010/12/02 13:51:08
1, "The PRT is currently running on a normal schedule.", 2012/02/27 08:30:57
